name,roadAddress
시청역,서울특별시 중구 세종대로 101
종각역,서울특별시 종로구 종로 55
종로3가역,서울특별시 종로구 돈화문로11길 26
종로5가역,서울특별시 종로구 종로 216
동대문역,서울특별시 종로구 종로 302
동묘앞역,서울특별시 종로구 종로 359
신설동역,서울특별시 동대문구 왕산로 1
제기동역,서울특별시 동대문구 왕산로 93
청량리역,서울특별시 동대문구 왕산로 214
을지로입구역,서울특별시 중구 을지로 42
을지로3가역,서울특별시 중구 을지로 106
을지로4가역,서울특별시 중구 을지로 178
상왕십리역,서울특별시 성동구 왕십리로 374
왕십리역,서울특별시 성동구 왕십리로 300
한양대역,서울특별시 성동구 왕십리로 206
뚝섬역,서울특별시 성동구 아차산로 18
성수역,서울특별시 성동구 아차산로 100
건대입구역,서울특별시 광진구 아차산로 243
구의역,서울특별시 광진구 아차산로 384-1
강변역,서울특별시 광진구 강변역로 53
잠실나루역,서울특별시 송파구 오금로 20
잠실역,서울특별시 송파구 올림픽로 265
잠실새내역,서울특별시 송파구 올림픽로 140
삼성역,서울특별시 강남구 테헤란로 538
선릉역,서울특별시 강남구 테헤란로 340
역삼역,서울특별시 강남구 테헤란로 156
강남역,서울특별시 강남구 강남대로 396
서초역,서울특별시 서초구 서초대로 233
방배역,서울특별시 서초구 방배로 80
사당역,서울특별시 동작구 남부순환로 2089
낙성대역,서울특별시 관악구 남부순환로 1928
서울대입구역,서울특별시 관악구 남부순환로 1822 서울대입구역사
봉천역,서울특별시 관악구 남부순환로 1721
신림역,서울특별시 관악구 남부순환로 1614
신대방역,서울특별시 동작구 대림로 2
구로디지털단지역,서울특별시 구로구 도림천로 477
대림역,서울특별시 구로구 도림천로 351
문래역,서울특별시 영등포구 당산로 28
영등포구청역,서울특별시 영등포구 당산로 121
당산역,서울특별시 영등포구 당산로 229
신촌역,서울특별시 서대문구 신촌로 90
이대역,서울특별시 마포구 신촌로 180
아현역,서울특별시 마포구 신촌로 270
충정로역,서울특별시 서대문구 서소문로 17
시청역,서울특별시 중구 세종대로 101
신설동역,서울특별시 동대문구 왕산로 1
용두역,서울특별시 동대문구 천호대로 129
신답역,서울특별시 성동구 천호대로 232
용답역,서울특별시 성동구 용답길 86
도림천역,서울특별시 구로구 경인로67길 160
양천구청역,서울특별시 양천구 목동로3길 57
신정네거리역,서울특별시 양천구 중앙로 265-1
까치산역,서울특별시 강서구 강서로 54
지축역,경기도 고양시 덕양구 삼송로 300
구파발역,서울특별시 은평구 진관2로 15-25
연신내역,서울특별시 은평구 통일로 849
불광역,서울특별시 은평구 통일로 723-1
